context_relevance,answer_relevance,faithfulness,contradiction_flag
0.5378215328699213,0.5245005435945637,0.7822977226228847,1.0
0.4037618316607817,0.40344550802189566,0.7947529352554987,1.0
0.5360101862721078,0.3493587756219432,0.5877741516463674,1.0
0.41126105261446677,0.6912396849125538,0.6181320854679782,0.0
0.48620426743039785,0.6100275819112024,0.7324556039043869,0.0
0.49290942652842523,0.35570710541738576,0.8201777149781422,1.0
0.2972863119563042,0.27916362602496836,0.580728321272032,1.0
0.41462639077994157,0.4389143803880671,0.7183965372725166,0.0
0.33927074261745505,0.3415123597221644,0.8383335983366348,0.0
0.4209647963901002,0.4071433503444601,0.7489404304164354,1.0
0.41855427800287276,0.6418213184070737,0.8219764640374003,1.0
0.4045476276950938,0.35489754649136174,0.7983353058136441,1.0
0.49057416436050777,0.2010575214784232,0.48305641919788234,1.0
0.3473126108308898,0.23067354925271277,0.7660504185782212,1.0
0.39428515197310626,0.19352673617512425,0.4780432819033222,1.0
0.3890547565088385,0.4665768099857212,0.6915404727446295,1.0
0.36987721782189065,0.45110416544133125,0.686434142877785,1.0
0.289114720686734,0.293717875745308,0.7859432363526271,1.0
0.46111261392962427,0.49445422956338975,0.7211326122371338,1.0
0.4587184001063241,0.4480070693995926,0.6822391680204428,0.0
0.5572737629195499,0.4665917091554767,0.7500996961744933,0.0
0.5523698283879097,0.5289599281057779,0.8010939279555525,1.0
0.3680365249123937,0.38300785039317287,0.6313309606361533,1.0
0.43808040021370764,0.48112445476085935,0.6463463627044819,0.0
0.39299602424434543,0.25275642933553083,0.4894304822616095,0.0
0.5179867577387951,0.6558306542516069,0.5558931242539202,0.0
0.333099935050698,0.36066466209235853,0.742850475035332,1.0
0.3762735317770323,0.5202274866533465,0.7256468134850438,1.0
0.467431390103486,0.46370711242615986,0.6367191392120953,1.0
0.3031746414816617,0.21022408753361332,0.6328039106031133,1.0
0.4884259532723262,0.5266277737406803,0.8091036000403727,0.0
0.5014715502182863,0.07833146970618726,0.4771626245942948,1.0
0.4832271219584383,0.4361095644797397,0.742569319928738,1.0
0.3637430133054889,0.3759576044633854,0.8468556319428207,1.0
0.40660546258416297,0.26983557489899856,0.6607294410394093,1.0
0.5554557983165969,0.7693416261832428,0.797113338910336,1.0
0.5359380894885947,0.5438833778352447,0.840092700669082,1.0
0.4483082176030192,0.519853677310747,0.8317160523212672,0.0
0.49387084732033876,0.2769972686482732,0.5547156278451777,1.0
0.44784497015255625,0.2047443911515697,0.613122672453985,1.0
0.4606212987137181,0.2646578225849739,0.6140032945267762,0.0
0.38117334461508545,0.09091551510971235,0.690009169831018,0.0
0.4914250429550531,0.5527128459122468,0.8074535050709117,1.0
0.573086881526798,0.5972582754083419,0.8265447533922674,1.0
0.5325116759355637,0.5023713061640311,0.7530305015875964,1.0
0.4991397391938347,0.2483389648803213,0.6154733009465942,1.0
0.3347488687119768,0.3232017915831523,0.6559406844313204,1.0
0.4160836907588051,0.11184003758885817,0.5025844823279856,1.0
0.36724013529629085,0.052429162642092755,0.7797647374097502,0.0
0.5688215616087662,0.6938069210890194,0.7517388687942554,1.0
0.48590631930997563,0.32208871519341953,0.49366106976035984,1.0
0.3027874233409598,0.23113102867327193,0.7580312866481983,0.0
0.30173353595421143,0.21018767146684889,0.7574451489997979,1.0
0.4979297460416743,0.541359630258951,0.7842147014653688,0.0
0.3723572793574145,0.6329747156369198,0.7491863891069521,1.0
0.4839991571169001,0.6655467879434438,0.8069147271833956,1.0
0.25847005585646154,0.2708866867156479,0.6964613544711189,1.0
0.34220249562206534,0.4018199701658366,0.685202412905819,1.0
0.45003440526108474,0.5699950739363294,0.6645642452540769,1.0
0.3956771167912428,0.28525631914313393,0.5720001997968133,1.0
0.4641152270485539,0.06464631045783453,0.6496365392592914,0.0
0.3675504009223163,0.22310025766909053,0.7632506413428659,0.0
0.37885165125012493,0.49543255072118114,0.7798525481829048,1.0
0.5524439946860464,0.27015679804534976,0.5035610148618508,0.0
0.5046491098597343,0.40272714705233237,0.8674971295568503,1.0
0.4921298152104877,0.41513036254724306,0.7523858920429042,1.0
0.5683932604231734,0.6370172436908628,0.8198624767333211,1.0
0.3279166999373829,0.16953794488646107,0.6044233380910511,1.0
0.5677019154727911,0.6018747031105866,0.8198624767333211,1.0
0.5643245564461399,0.5685898008708037,0.6827263167773207,1.0
0.4953431367150959,0.395019616706771,0.6133960424118771,1.0
0.5204970890222814,0.4602033724185263,0.715093171305683,1.0
0.4586901256940001,0.4602032257789797,0.6639423303967096,1.0
0.5034811263623038,0.21238742556377072,0.5240225739528895,1.0
0.555729730297953,0.7198095678714252,0.5733650611144522,1.0
0.5486103688115822,0.5417942077455653,0.8281899607809056,1.0
0.5399966305138826,0.2093358590731102,0.5594689790091921,1.0
0.32647256585610057,0.22449434917154593,0.6719489235379412,1.0
0.42046451270117,0.16712962920009675,0.545955712104072,1.0
0.3983969083023021,0.3560573423065836,0.637860470592068,1.0
